"mgc","ghv","lip","chg","aac","alm1","alm2","class","confidence(cp)","confidence(im)","confidence(imS)","confidence(imL)","confidence(imU)","confidence(om)","confidence(omL)","confidence(pp)","prediction(class)"
0.4,0.35,0.48,0.5,0.45,0.33,0.42,"cp",0.9999734552617848,2.2556478152815067E-6,0.0,0.0,1.1736336272133091E-23,7.285864359371615E-13,0.0,2.4289089671292622E-5,"cp"
0.42,0.38,0.48,0.5,0.54,0.34,0.43,"cp",0.9999199877687652,1.0629162757005469E-5,0.0,0.0,1.2262294853132446E-21,1.4474080232388158E-10,0.0,6.938292373695865E-5,"cp"
0.36,0.41,0.48,0.5,0.48,0.47,0.54,"cp",0.9908581513631494,0.00902576385836281,0.0,0.0,1.3336915819937128E-12,9.872510207889211E-12,0.0,1.1608476728144638E-4,"cp"
0.44,0.28,0.48,0.5,0.43,0.27,0.37,"cp",0.9999603903016706,9.115955077004572E-8,0.0,0.0,6.053085259435811E-29,1.2902978112199227E-13,0.0,3.951853864961021E-5,"cp"
0.29,0.47,0.48,0.5,0.41,0.23,0.34,"cp",0.9999993757181245,6.50002937837991E-8,0.0,0.0,3.5162775681836337E-34,1.3703279510316346E-14,0.0,5.592815679371047E-7,"cp"
0.34,0.55,0.48,0.5,0.58,0.31,0.41,"cp",0.9999096616737352,2.6238031198865003E-5,0.0,0.0,3.955920831797145E-24,5.883342342050065E-9,0.0,6.409441172369812E-5,"cp"
0.4,0.42,0.48,0.5,0.37,0.27,0.27,"cp",0.9999156167557468,1.2548270753724527E-7,0.0,0.0,6.472544117175991E-36,6.416654172543645E-13,0.0,8.425776090401147E-5,"cp"
0.64,0.76,0.48,0.5,0.45,0.35,0.38,"cp",7.80240546636929E-5,9.827767616986097E-7,0.0,0.0,1.2318021384930744E-24,1.716194028461874E-5,0.0,0.99990383122829,"pp"
0.35,0.37,0.48,0.5,0.3,0.34,0.43,"cp",0.9999871644588715,4.365883947117826E-6,0.0,0.0,8.615093154807901E-25,6.464410981932801E-16,0.0,8.469657180703333E-6,"cp"
0.57,0.54,0.48,0.5,0.37,0.28,0.33,"cp",0.8026230383605252,3.210798447714808E-6,0.0,0.0,2.96134257708815E-29,2.387931428824892E-8,0.0,0.1973737269617128,"cp"
0.65,0.55,0.48,0.5,0.34,0.37,0.28,"cp",0.07801881438808368,2.4278443278048877E-5,0.0,0.0,6.289415776983056E-29,8.54620960659267E-8,0.0,0.9219568217065423,"pp"
0.38,0.26,0.48,0.5,0.54,0.16,0.28,"cp",0.9999983853691485,1.5680973284497799E-9,0.0,0.0,8.64321082103317E-40,7.978468688310954E-14,0.0,1.613062674366946E-6,"cp"
0.49,0.43,0.48,0.5,0.49,0.3,0.4,"cp",0.9988412726898968,2.670942475607322E-6,0.0,0.0,2.1435047323765303E-24,1.5148893188938579E-9,0.0,0.00115605485273823,"cp"
0.32,0.33,0.48,0.5,0.6,0.06,0.2,"cp",0.9999998211336498,1.877194649129565E-10,0.0,0.0,4.3548778524041835E-51,9.050918034884414E-14,0.0,1.786785401460246E-7,"cp"
0.34,0.35,0.48,0.5,0.51,0.49,0.56,"cp",0.9778210460152305,0.022144692077479697,0.0,0.0,2.8443873679685524E-11,1.6500254202366073E-12,0.0,3.4261877196059086E-5,"cp"
0.35,0.34,0.48,0.5,0.46,0.3,0.27,"cp",0.9999958777007977,1.8093388152860646E-7,0.0,0.0,1.5602685407929082E-34,1.6381642560952776E-13,0.0,3.941365156726779E-6,"cp"
0.38,0.3,0.48,0.5,0.43,0.29,0.39,"cp",0.9999947946243781,2.0512903742757322E-7,0.0,0.0,1.3564570305176637E-27,1.826832589062673E-14,0.0,5.000246566394495E-6,"cp"
0.34,0.42,0.48,0.5,0.41,0.34,0.43,"cp",0.9999878442541742,5.612703270910515E-6,0.0,0.0,1.2284350539736194E-23,1.0697399059070606E-13,0.0,6.543042447926863E-6,"cp"
0.25,0.26,0.48,0.5,0.39,0.32,0.42,"cp",0.9999993560386885,6.260318650533604E-7,0.0,0.0,9.108252196125154E-27,1.5127676522551169E-18,0.0,1.79294463994376E-8,"cp"
0.17,0.39,0.48,0.5,0.53,0.3,0.39,"cp",0.9999984292786268,1.5704070794348006E-6,0.0,0.0,7.938844289672106E-29,7.635531388868034E-17,0.0,3.142936135688878E-10,"cp"
0.04,0.31,0.48,0.5,0.41,0.29,0.39,"cp",0.9999991774805244,8.225194270376901E-7,0.0,0.0,2.3683026173556225E-32,3.94580024771345E-24,0.0,4.868833896749708E-14,"cp"
0.4,0.46,0.48,0.5,0.42,0.35,0.44,"cp",0.9997904940157596,1.8072327940339183E-5,0.0,0.0,9.943146488693925E-22,1.3965252557168191E-11,0.0,1.9143364233483354E-4,"cp"
0.23,0.34,0.48,0.5,0.43,0.26,0.37,"cp",0.9999999201735507,7.568250276468197E-8,0.0,0.0,5.858484814720047E-32,1.090723370776814E-17,0.0,4.14394665182108E-9,"cp"
0.17,0.52,0.48,0.5,0.49,0.37,0.46,"cp",0.999801640104869,1.9834759158444186E-4,0.0,0.0,4.532613561565748E-22,4.277152260863857E-15,0.0,1.2303542313731132E-8,"cp"
0.44,0.35,0.48,0.5,0.44,0.52,0.59,"cp",0.8589153315149237,0.13649974211557708,0.0,0.0,1.4969025486991883E-8,1.686724717228212E-11,0.0,0.004584911383606369,"cp"
0.27,0.42,0.48,0.5,0.37,0.38,0.43,"cp",0.9999737453646482,2.5740600075316125E-5,0.0,0.0,2.889058469720292E-23,1.0760322819819125E-15,0.0,5.140352754866754E-7,"cp"
0.34,0.49,0.48,0.5,0.58,0.85,0.8,"im",1.0168387743874049E-10,0.9998960461008963,0.0,0.0,1.039486024589844E-4,1.544848954678893E-17,0.0,5.194960898776842E-9,"im"
0.73,0.36,0.48,0.5,0.53,0.91,0.92,"im",2.9596220361985824E-15,0.9986477824904145,0.0,0.0,0.001352066405487943,4.443830734019903E-19,0.0,1.5110409459242985E-7,"im"
0.48,0.41,0.48,0.5,0.51,0.9,0.88,"im",6.313170626539133E-13,0.9997802340816673,0.0,0.0,2.1971825307778387E-4,2.844515723369388E-19,0.0,4.76646236227925E-8,"im"
0.72,0.46,0.48,0.5,0.51,0.66,0.7,"im",3.648294384103252E-6,0.9698099572563622,0.0,0.0,0.022320274897217406,7.216556896920893E-10,0.0,0.00786611883038062,"im"
0.54,0.57,0.48,0.5,0.56,0.81,0.83,"im",2.6751604387337823E-11,0.9946417717466879,0.0,0.0,0.005346184218074808,1.3448354497865947E-13,0.0,1.2044008351065174E-5,"im"
0.47,0.59,0.48,0.5,0.52,0.76,0.79,"im",3.4333592290311386E-9,0.9980948288008149,0.0,0.0,0.0018666194769232215,4.4224320600298185E-13,0.0,3.854828846065415E-5,"im"
0.49,0.42,0.48,0.5,0.53,0.79,0.81,"im",2.669884064489713E-9,0.9943672231125852,0.0,0.0,0.005630210442391037,1.7131662351218712E-15,0.0,2.5637751378523416E-6,"im"
0.31,0.5,0.48,0.5,0.57,0.84,0.85,"im",1.9004598089304775E-11,0.9999794576793227,0.0,0.0,2.0541541301351448E-5,4.1739950637077407E-19,0.0,7.603713254222073E-10,"im"
0.66,0.53,0.48,0.5,0.59,0.66,0.66,"im",5.965269769902839E-6,0.9813480275563041,0.0,0.0,0.005150216919294808,1.4432752149984968E-7,0.0,0.013495645927109579,"im"
0.6,0.5,1.0,0.5,0.54,0.77,0.8,"im",0.0,0.0,0.0,0.0,0.9999999944205411,5.579458810159023E-9,3.0169123107445304E-31,0.0,"imU"
0.2,0.46,0.48,0.5,0.57,0.78,0.81,"im",2.8731765541998854E-9,0.9999978410262695,0.0,0.0,2.156087873812856E-6,9.859473659160778E-21,0.0,1.2680017226596637E-11,"im"
0.7,0.46,0.48,0.5,0.56,0.78,0.73,"im",3.421665252329297E-9,0.9111329333719665,0.0,0.0,0.08870182079780735,1.3931259102024326E-11,0.0,1.6524239462977015E-4,"im"
0.33,0.37,0.48,0.5,0.46,0.65,0.69,"im",0.0011311403057281252,0.9988516157285424,0.0,0.0,1.3107667199298399E-5,1.787664788386904E-15,0.0,4.136298528385778E-6,"im"
0.34,0.67,0.48,0.5,0.52,0.76,0.79,"im",1.4668247935227457E-9,0.9999508774939444,0.0,0.0,4.697418746393632E-5,1.8590199467836905E-14,0.0,2.1468517483762017E-6,"im"
0.59,0.56,0.48,0.5,0.55,0.8,0.82,"im",5.109949720794942E-11,0.9857096561425,0.0,0.0,0.014251887321491406,4.976061079824151E-13,0.0,3.845648441154024E-5,"im"
0.51,0.4,0.48,0.5,0.57,0.62,0.67,"im",0.0010060842693543923,0.9966587849133512,0.0,0.0,7.471015961002204E-4,5.545352653628546E-10,0.0,0.0015880286666587627,"im"
0.5,0.57,0.48,0.5,0.71,0.61,0.66,"im",2.3249078276261145E-5,0.9987756991866523,0.0,0.0,1.0218711254032189E-4,1.2048262410040203E-6,0.0,0.001097659796290053,"im"
0.61,0.66,0.48,0.5,0.46,0.87,0.88,"im",2.9876200875940267E-14,0.99952375824992,0.0,0.0,4.2628678891736753E-4,3.149983394070105E-15,0.0,4.995496112957286E-5,"im"
0.48,0.49,0.48,0.5,0.52,0.77,0.71,"im",1.841376296277777E-7,0.9976551312609164,0.0,0.0,0.0022982800845451653,9.732668114778747E-13,0.0,4.640451593552362E-5,"im"
0.31,0.36,0.48,0.5,0.58,0.94,0.94,"im",5.4878879013858634E-15,0.9999998039380877,0.0,0.0,1.9605789178296898E-7,2.7396201233696535E-24,0.0,4.015092925788025E-12,"im"
0.68,0.51,0.48,0.5,0.71,0.75,0.78,"im",1.2255848133342343E-10,0.9458408058456025,0.0,0.0,0.054141840927178726,3.5426549545305375E-10,0.0,1.735275039495581E-5,"im"
0.46,0.59,0.48,0.5,0.36,0.76,0.23,"im",3.8056654889573354E-4,0.5937669040741652,0.0,0.0,2.3212862416589223E-24,8.1383901001346E-9,0.0,0.40585252123854887,"im"
0.1,0.49,0.48,0.5,0.41,0.67,0.21,"im",0.11339820452675986,0.8866017795914534,0.0,0.0,4.93996196882636E-30,7.696373601614872E-17,0.0,1.588178674465057E-8,"im"
0.85,0.53,0.48,0.5,0.53,0.52,0.35,"imS",0.0032972538337040103,0.040119714588529025,0.0,0.0,1.3717401924205506E-16,1.4007681804058418E-4,0.0,0.9564429547597262,"pp"
0.7,0.39,1.0,0.5,0.51,0.82,0.84,"imL",0.0,0.0,0.0,0.0,0.9999999999943048,5.695140879152797E-12,1.9497140189461082E-50,0.0,"imU"
0.59,0.29,0.48,0.5,0.64,0.75,0.77,"imU",2.3502911086485638E-8,0.9303335970733578,0.0,0.0,0.06965180860741742,2.5873567201566694E-13,0.0,1.457081605510385E-5,"im"
0.76,0.71,0.48,0.5,0.5,0.71,0.75,"imU",5.150781105125419E-10,0.9178820431608969,0.0,0.0,0.01768982008232074,1.0566030022488839E-8,0.0,0.06442812567567442,"im"
0.84,0.49,0.48,0.5,0.55,0.78,0.74,"imU",1.1166298997413634E-10,0.8694416375670023,0.0,0.0,0.1305053932846906,4.846608217033398E-12,0.0,5.296903179747834E-5,"im"
0.77,0.55,0.48,0.5,0.51,0.78,0.74,"imU",3.357640961948723E-10,0.9336730143330425,0.0,0.0,0.06581701264206159,2.0906227775281642E-11,0.0,5.099726682255245E-4,"im"
0.62,0.42,0.48,0.5,0.58,0.79,0.81,"imU",3.624241048583964E-10,0.9455981617964422,0.0,0.0,0.054390452403390174,9.405534718769428E-14,0.0,1.138543764937513E-5,"im"
0.86,0.39,0.48,0.5,0.59,0.89,0.9,"imU",5.721437711809684E-16,0.9923645015658362,0.0,0.0,0.007635462237348479,6.225083964192E-18,0.0,3.619681458384302E-8,"im"
0.76,0.41,0.48,0.5,0.5,0.59,0.62,"imU",9.093610314249991E-4,0.9024490601932255,0.0,0.0,4.744287349714673E-4,2.0694755239865228E-8,0.0,0.09616712934562295,"im"
0.64,0.45,0.48,0.5,0.67,0.61,0.66,"imU",5.74385672802212E-5,0.9934945814107414,0.0,0.0,0.0021183169779880823,3.763986145296656E-7,0.0,0.004329286645375739,"im"
0.57,0.38,0.48,0.5,0.06,0.49,0.33,"imU",0.3023443000947666,0.023459301792927836,0.0,0.0,1.417000516091533E-25,2.0555873849852192E-14,0.0,0.6741963981122849,"pp"
0.78,0.44,0.48,0.5,0.45,0.73,0.68,"imU",1.685356025015897E-7,0.9803464405520073,0.0,0.0,0.01735694649139025,1.230683831304896E-11,0.0,0.00229644440869306,"im"
0.63,0.69,0.48,0.5,0.65,0.41,0.28,"om",7.157892541619165E-4,8.980412632889209E-5,0.0,0.0,2.2812319699664302E-26,0.046464215949696165,0.0,0.952730190669813,"pp"
0.74,0.9,0.48,0.5,0.57,0.53,0.29,"om",1.5048425111746816E-10,5.46177266330325E-7,0.0,0.0,3.540714429757536E-26,0.0020678390734855,0.0,0.9979316145987639,"pp"
0.68,0.76,0.48,0.5,0.84,0.45,0.27,"om",4.2362577287026386E-8,2.396804352704111E-5,0.0,0.0,5.879329464996414E-28,0.9854311967333003,0.0,0.014544792860595526,"om"
0.65,0.51,0.48,0.5,0.66,0.54,0.33,"om",0.03379745455147142,0.09430330253477737,0.0,0.0,2.2950057691914033E-17,0.009201900140779078,0.0,0.862697342772972,"pp"
0.64,0.57,0.48,0.5,0.7,0.33,0.26,"om",0.12011245134005973,2.476473025216361E-4,0.0,0.0,5.869037900721388E-29,0.08522675878022852,0.0,0.7944131425771902,"pp"
0.63,0.49,0.48,0.5,0.79,0.45,0.28,"om",0.10168925132045888,0.06074444967471887,0.0,0.0,7.242014669217643E-23,0.45210148302254366,0.0,0.3854648159822785,"om"
0.71,0.46,1.0,0.5,0.52,0.59,0.3,"omL",0.0,0.0,0.0,0.0,7.72360221317012E-24,3.856202792013039E-8,0.9999999614379721,0.0,"omL"
0.57,0.59,0.48,0.5,0.39,0.47,0.33,"pp",0.05010692807410836,6.727091084026087E-4,0.0,0.0,2.869255463678191E-22,6.997766746617176E-7,0.0,0.9492196630408144,"pp"
0.71,0.71,0.48,0.5,0.4,0.54,0.39,"pp",8.799068368623913E-6,2.4720497963940275E-4,0.0,0.0,6.329354769688721E-18,2.362258654026538E-6,0.0,0.999741633693338,"pp"
0.7,0.64,0.48,0.5,0.47,0.51,0.47,"pp",4.647635714773149E-4,0.0033209594635996245,0.0,0.0,6.867457421734341E-13,1.4204152315745266E-5,0.0,0.9962000728119206,"pp"
0.74,0.82,0.48,0.5,0.49,0.49,0.41,"pp",6.967564976911949E-8,8.166945340898968E-6,0.0,0.0,7.179467168398176E-19,8.998139474870431E-5,0.0,0.9999017819842606,"pp"
0.63,0.71,0.48,0.5,0.6,0.4,0.39,"pp",6.787911929754616E-4,8.481130457442323E-5,0.0,0.0,2.702223700550599E-20,0.005127850917869435,0.0,0.9941085465845807,"pp"
0.71,0.86,0.48,0.5,0.4,0.54,0.32,"pp",1.980919494041826E-9,8.625611698747432E-7,0.0,0.0,8.023810147493857E-25,2.938876689199132E-6,0.0,0.9999961965812215,"pp"
0.64,0.84,0.48,0.5,0.37,0.45,0.4,"pp",1.4954737921565065E-7,6.627560244802724E-7,0.0,0.0,1.4544681575024032E-22,6.347282364053178E-7,0.0,0.9999985529683599,"pp"
0.63,0.65,0.48,0.5,0.39,0.44,0.35,"pp",0.0025731200669112902,7.027435761446362E-5,0.0,0.0,1.6411022615895434E-22,1.4239342342685598E-6,0.0,0.9973551816412399,"pp"
0.63,0.8,0.48,0.5,0.46,0.31,0.29,"pp",1.2074309896525257E-5,3.859439328306072E-8,0.0,0.0,1.8803015615135976E-32,2.905828248440409E-5,0.0,0.9999588288132258,"pp"
0.66,0.71,0.48,0.5,0.41,0.5,0.35,"pp",3.952173522996562E-5,6.238009026218089E-5,0.0,0.0,2.4222207897710983E-21,4.346486095339653E-6,0.0,0.9998937516884125,"pp"
0.64,0.78,0.48,0.5,0.5,0.36,0.38,"pp",2.6976698344180525E-5,1.0477751691513955E-6,0.0,0.0,3.919265472501869E-24,1.2464408802297442E-4,0.0,0.9998473314384636,"pp"
0.62,0.78,0.48,0.5,0.47,0.49,0.54,"pp",3.5212949910751735E-6,2.2285591200787075E-4,0.0,0.0,9.654358960701435E-13,7.809841659719288E-6,0.0,0.9997658129503758,"pp"
0.76,0.73,0.48,0.5,0.44,0.39,0.39,"pp",2.894833938741778E-5,7.151229979109708E-6,0.0,0.0,7.502612526693023E-22,1.574751058435811E-5,0.0,0.999948152920049,"pp"
0.29,0.39,0.48,0.5,0.52,0.4,0.48,"pp",0.9998310801325513,1.6813672672242097E-4,0.0,0.0,1.7525531332716582E-18,2.5158217040089626E-13,0.0,7.831404747791831E-7,"cp"
0.71,0.57,0.48,0.5,0.48,0.35,0.32,"pp",0.04793453427067775,3.6998648938352416E-5,0.0,0.0,2.437289993427796E-25,2.9355090478323526E-5,0.0,0.9519991119899056,"pp"
0.61,0.6,0.48,0.5,0.44,0.39,0.38,"pp",0.07432451132241183,1.3272414550498447E-4,0.0,0.0,3.1175117175732874E-21,4.911812646761214E-6,0.0,0.9255378527194366,"pp"
