"sepal_length","sepal_width","petal_length","petal_width","class","confidence(Iris-setosa)","confidence(Iris-versicolor)","confidence(Iris-virginica)","prediction(class)"
6.0,2.9,4.5,1.5,"Iris-versicolor",4.264514735002041E-93,0.987608686295498,0.012391313704501914,"Iris-versicolor"
5.7,2.6,3.5,1.0,"Iris-versicolor",3.2580031294056937E-39,0.9999999292609173,7.073908269154635E-8,"Iris-versicolor"
6.0,2.7,5.1,1.6,"Iris-versicolor",2.890347262638533E-124,0.5466824807206943,0.4533175192793058,"Iris-versicolor"
6.0,3.4,4.5,1.6,"Iris-versicolor",9.93417295089247E-97,0.9311709617651905,0.06882903823480939,"Iris-versicolor"
6.3,2.3,4.4,1.3,"Iris-versicolor",3.0818323196525036E-82,0.9995340374224084,4.6596257759165657E-4,"Iris-versicolor"
6.1,3.0,4.6,1.4,"Iris-versicolor",1.1622134854133447E-92,0.9865988988922372,0.013401101107762783,"Iris-versicolor"
5.6,2.7,4.2,1.3,"Iris-versicolor",2.855464521556541E-72,0.9999393153388723,6.068466112776804E-5,"Iris-versicolor"
5.7,2.8,4.1,1.3,"Iris-versicolor",8.599868203946988E-69,0.9999468893045798,5.3110695420302484E-5,"Iris-versicolor"
6.3,2.9,5.6,1.8,"Iris-virginica",2.0274659329959942E-162,0.0021093034838191894,0.9978906965161809,"Iris-virginica"
6.5,3.0,5.8,2.2,"Iris-virginica",1.3074163014274243E-201,7.665014340992783E-7,0.9999992334985659,"Iris-virginica"
4.9,2.5,4.5,1.7,"Iris-virginica",1.7214930911860613E-101,0.9985138951454006,0.001486104854599454,"Iris-versicolor"
5.7,2.5,5.0,2.0,"Iris-virginica",1.3506242963908683E-142,0.03499431952694539,0.9650056804730546,"Iris-virginica"
6.4,3.2,5.3,2.3,"Iris-virginica",1.201210549170424E-181,1.451396626569262E-6,0.9999985486033733,"Iris-virginica"
7.7,3.8,6.7,2.2,"Iris-virginica",1.2136717684303722E-261,1.045045295702398E-9,0.9999999989549546,"Iris-virginica"
7.7,2.6,6.9,2.3,"Iris-virginica",3.553180575724548E-285,3.5181913947613393E-10,0.9999999996481808,"Iris-virginica"
5.6,2.8,4.9,2.0,"Iris-virginica",2.1034724871071618E-137,0.039228520428565096,0.960771479571435,"Iris-virginica"
7.7,2.8,6.7,2.0,"Iris-virginica",1.3292355811651627E-249,8.430382363661401E-8,0.9999999156961763,"Iris-virginica"
6.2,2.8,4.8,1.8,"Iris-virginica",2.515508025926104E-122,0.2085563298519211,0.7914436701480788,"Iris-virginica"
6.1,3.0,4.9,1.8,"Iris-virginica",3.298165052478628E-126,0.11379810630739952,0.8862018936926005,"Iris-virginica"
7.9,3.8,6.4,2.0,"Iris-virginica",2.597714253239826E-229,8.163017289574212E-8,0.9999999183698272,"Iris-virginica"
6.3,3.4,5.6,2.4,"Iris-virginica",1.7239332922651076E-204,4.463043383233287E-8,0.9999999553695662,"Iris-virginica"
6.4,3.1,5.5,1.8,"Iris-virginica",3.0516123148466294E-157,0.001972135571251559,0.9980278644287484,"Iris-virginica"
6.7,3.0,5.2,2.3,"Iris-virginica",1.885415020186282E-178,1.747787295770076E-6,0.9999982522127043,"Iris-virginica"
6.2,3.4,5.4,2.3,"Iris-virginica",2.0810099163260995E-185,1.121283136487131E-6,0.9999988787168635,"Iris-virginica"
5.9,3.0,5.1,1.8,"Iris-virginica",7.136926924564268E-135,0.06556690138688234,0.9344330986131177,"Iris-virginica"
